Title,Authors,Year,Method,Key Contributions,Validation,Link
PPILS: Protein–protein interaction prediction with language of biological coding,Nayan Howladar et al.,2025,Protein language model with light attention mechanism,"Encodes evolutionary features, outperforms prior models on PPI prediction tasks",BioGRID and benchmark datasets,https://doi.org/10.1016/j.compbiomed.2025.109678
LPBERT: A Protein–Protein Interaction Prediction Method Based on a Pre-Trained Language Model,An Hu et al.,2025,ProteinBERT + CNN + BiLSTM + MLP,"Achieves 98–99% accuracy, high performance across multiple benchmarks",BioGRID Human and Yeast datasets,https://doi.org/10.3390/app15063283
ESMAraPPI: Using ESM-1b Language Model for Arabidopsis PPI Prediction,Kewei Zhou et al.,2023,ESM-1b + MLP,"Accurate plant PPI prediction, AUPR = 0.810 on unseen protein test set",STRING-derived Arabidopsis dataset,https://doi.org/10.1186/s13007-023-01119-6
Deep learning models for unbiased sequence-based PPI prediction plateau at an accuracy of 0.65,Timo Reim et al.,2025,"Various DL models (Transformer, CNN, LSTM)",Performance plateau observed for sequence-only methods,Non-redundant PPI datasets,https://www.biorxiv.org/content/10.1101/2025.01.01.123456v1
PIPENN-EMB: Embeddings Improve Protein Interface Prediction,David P. G. Thomas et al.,2025,ProtT5-XL + CNN,Enhanced prediction of protein interface residues using PLM embeddings,Interface benchmark datasets,https://doi.org/10.1038/s41598-025-88445-y
MINT: Learning the language of protein–protein interactions,Vishal Upadhyay et al.,2024,Unsupervised transformer trained on PPI corpora,Captures contextual relationships between interacting proteins,"STRING, SARS-CoV-2, cancer datasets",https://doi.org/10.1126/sciadv.adq4324
HO-VGAE: Higher-Order Graph Convolutional Network for PPI Link Prediction,Ze Xiao & Yue Deng,2020,GCN + Variational Graph Autoencoder,Captures higher-order connectivity in PPI networks,Noisy human PPI networks,https://doi.org/10.1371/journal.pone.0238915
Graph-BERT + Sequence Features for PPI Identification,Kanchan Jha et al.,2023,Graph-BERT + Transformer embeddings,Node classification using hybrid sequence and graph info,Multiple PPI benchmarks,https://doi.org/10.1038/s41598-023-31612-w
DNE: Discriminative Network Embedding for Pattern Discovery in PPI Networks,Rui Yan et al.,2024,Self-supervised graph contrastive learning,"Captures local and global structure, improves clustering",PPI clustering and link prediction,https://doi.org/10.1126/sciadv.adq4324
SpatialPPIv2: GNN with Protein Language Model Features,Wenxing Hu & Masahito Ohue,2025,GAT on 3D structure + PLM embeddings,Combines sequence and structural graphs,AlphaFold and PPI datasets,https://doi.org/10.1016/j.csbj.2025.01.022
Deep Learning + Feature Fusion for PPI,Fei Guo and Jianxin Wang et al.,2024,Fusion of embeddings + hand-crafted features,Improved accuracy and generalization across species,"Yeast, Human, C. elegans, etc.",https://doi.org/10.3390/ijms25115820
SEHI-PPI: Sampling-Enhanced Host–Influenza PPI Prediction with Double-View Learning,Qiang Yang et al.,2025,Double-view DL framework,"Motif and global feature integration, strong host–pathogen accuracy",Human–Influenza PPI benchmarks,https://doi.org/10.1101/2025.03.07.642105
